"filename", "language", "TypeScript", "HTML", "XML", "CSS", "Svelte", "JSON", "SCSS", "JavaScript", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsDate.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsEmail.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsFiles.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsFormula.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsMultiSelect.svelte", "Svelte", 0, 0, 0, 0, -50, 0, 0, 0, 0, -6, -56
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsNumber.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsPeople.svelte", "Svelte", 0, 0, 0, 0, -15, 0, 0, 0, 0, -1, -16
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsPhoneNumber.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsRelation.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsRichText.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsSelect.svelte", "Svelte", 0, 0, 0, 0, -53, 0, 0, 0, 0, -6, -59
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsStatus.svelte", "Svelte", 0, 0, 0, 0, -13, 0, 0, 0, 0, -4, -17
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsTitle.svelte", "Svelte", 0, 0, 0, 0, -40, 0, 0, 0, 0, -7, -47
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/props/PropsUrl.svelte", "Svelte", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
