"filename", "language", "TypeScript", "Svelte", "SCSS", "HTML", "XML", "CSS", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/background/index.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 11, 5, 38
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/content/index.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 10, 81
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/options/index.html", "HTML", 0, 0, 0, 35, 0, 0, 0, 7, 42
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/options/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/popup/index.html", "HTML", 0, 0, 0, 31, 0, 0, 0, 5, 36
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/popup/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 47, 19, 73
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/clipboard/rules.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/dateTime/rules.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/input_provider_helpers.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/webData/get.ts", "TypeScript", 276, 0, 0, 0, 0, 0, 23, 66, 365
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/webData/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/webData/inject.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/webData/rules.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/input_providers/youtube/rules.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/notion/auth.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 1, 2, 43
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/notion/get.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 9, 16, 152
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/notion/icon.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/notion/set.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/notion/translate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/output-providers/output_provider_helpers.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/platform/default_settings.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 3, 175
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/platform/helper_functions.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/platform/platform.ts", "TypeScript", 358, 0, 0, 0, 0, 0, 24, 37, 419
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/platform/stores.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 5, 14, 87
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/platform/ui-utils.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/provider_manifest.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 1, 3, 47
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.scss", "SCSS", 0, 0, 247, 0, 0, 0, 22, 3, 272
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.css", "CSS", 0, 0, 0, 0, 0, 251, 1, 2, 254
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/ui-types.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 1, 3
"Total", "-", 1643, 6004, 247, 66, 8, 253, 401, 668, 9290
