"filename", "language", "TypeScript", "HTML", "Svelte", "SCSS", "CSS", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/api-endpoints.ts", "TypeScript", 113, 0, 0, 0, 0, 2, 11, 126
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/chrome-storage.ts", "TypeScript", 51, 0, 0, 0, 0, 15, 10, 76
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/flow-scripts.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 3, 5
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/stores.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 5, 29
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/svelecte-renderers.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 17, 129
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/ui-utils.ts", "TypeScript", 59, 0, 0, 0, 0, 1, 11, 71
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/utils.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.min.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/global.scss", "SCSS", 0, 0, 0, 392, 0, 26, 73, 491
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.css", "CSS", 0, 0, 0, 0, 69, 0, 23, 92
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/style/variables.min.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 1, 3
"Total", "-", 1285, 79, 2359, 392, 71, 100, 452, 4738
