"filename", "language", "HTML", "TypeScript", "JSON", "Svelte", "CSS", "SCSS", "JSON with Comments", "YAML", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/InputLabel.svelte", "Svelte", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Select.svelte", "Svelte", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/TextInput.svelte", "Svelte", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 11, 208
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/Tooltip.svelte", "Svelte", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 8, 138
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataDropdownItem.svelte", "Svelte", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 12, 136
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebDataSelect.svelte", "Svelte", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 33, 237
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/WebIcon.svelte", "Svelte", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 6, 104
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/components/ui/context-menu/ContextMenu.svelte", "Svelte", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 21, 9, 117
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/global.d.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 135
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/icons.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/notionicon.ts", "TypeScript", 0, 633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 633
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/background/index.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 39, 14, 75
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/content/index.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 69
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/content/main.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/options/index.html", "HTML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/options/index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/options/manifest.webmanifest", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/popup/index.html", "HTML", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/pages/popup/index.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 73
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/api-endpoints.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 126
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/chrome-storage.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 76
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/flow-scripts.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/stores.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/svelecte-renderers.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 129
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/ui-utils.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 85
"/Users/eliwimmer/Web Development/notion-capture/chrome-extension/src/scripts/utils.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
